,address,price,beds,baths,sqft,type,links
19,"775 W 2275 N, Layton, UT 84041","$499,900",4,3,"2,700",Single-Family Home,https://www.zillow.com/homedetails/775-W-2275-N-Layton-UT-84041/12686557_zpid/
20,"463 E 550 S #103, Layton, UT 84041","$450,000",3,3,"1,643",Town House,https://www.zillow.com/homedetails/463-E-550-S-103-Layton-UT-84041/2061440218_zpid/
21,"1046 E Bigelow Ave, Layton, UT 84040","$719,900",4,3,"3,733",Single-Family Home,https://www.zillow.com/homedetails/1046-E-Bigelow-Ave-Layton-UT-84040/305071943_zpid/
22,"2530 E 1900 N, Layton, UT 84040","$379,000",2,2,"3,046",Town House,https://www.zillow.com/homedetails/2530-E-1900-N-Layton-UT-84040/12684306_zpid/
23,"84 N 3225 W, Layton, UT 84041","$879,000",6,4,"5,212",Single-Family Home,https://www.zillow.com/homedetails/84-N-3225-W-Layton-UT-84041/94679648_zpid/
24,"249 Barbara St, Layton, UT 84041","$385,000",3,2,"1,060",Single-Family Home,https://www.zillow.com/homedetails/249-Barbara-St-Layton-UT-84041/12689277_zpid/
25,"2815 W 1100 N, Layton, UT 84041","$515,000",5,3,"2,545",Single-Family Home,https://www.zillow.com/homedetails/2815-W-1100-N-Layton-UT-84041/12701981_zpid/
26,"527 S 900 E, Layton, UT 84041","$494,000",4,3,"1,844",Single-Family Home,https://www.zillow.com/homedetails/527-S-900-E-Layton-UT-84041/12696763_zpid/
27,"129 Barrington Way, Layton, UT 84041","$127,000",4,2,"1,556",Single-Family Home,https://www.zillow.com/homedetails/129-Barrington-Way-Layton-UT-84041/2061721228_zpid/
28,"601 N 3450 W, Layton, UT 84041","$1,275,000",6,4,"4,040",Single-Family Home,https://www.zillow.com/homedetails/601-N-3450-W-Layton-UT-84041/249104603_zpid/
